
2021-09-10T14:42:58.713735;2021-09-10T14:42:58.716170;1;
2021-09-10T14:42:59.217275;2021-09-10T14:42:59.219990;1;
2021-09-10T14:42:59.721179;2021-09-10T14:42:59.723916;1;
2021-09-10T14:43:00.224931;2021-09-10T14:43:00.227384;1;
2021-09-10T14:43:00.728448;2021-09-10T14:43:00.731817;1;
2021-09-10T14:43:01.232831;2021-09-10T14:43:01.236169;1;
2021-09-10T14:43:01.737243;2021-09-10T14:43:01.740240;1;
2021-09-10T14:43:02.241287;2021-09-10T14:43:02.243674;1;
2021-09-10T14:43:02.744861;2021-09-10T14:43:02.747242;1;
2021-09-10T14:43:03.248200;2021-09-10T14:43:03.250555;1;
2021-09-10T14:43:03.751693;2021-09-10T14:43:03.753806;1;
2021-09-10T14:43:04.254837;2021-09-10T14:43:04.257164;1;
2021-09-10T14:43:04.758270;2021-09-10T14:43:04.760734;1;
2021-09-10T14:43:05.261772;2021-09-10T14:43:05.264058;1;
2021-09-10T14:43:05.765212;2021-09-10T14:43:05.767392;1;
2021-09-10T14:43:06.268434;2021-09-10T14:43:06.270632;1;
2021-09-10T14:43:06.771649;2021-09-10T14:43:06.774516;1;
2021-09-10T14:43:07.275673;2021-09-10T14:43:07.277782;1;
2021-09-10T14:43:07.778858;2021-09-10T14:43:07.781363;1;
2021-09-10T14:43:08.282445;2021-09-10T14:43:08.284850;1;
2021-09-10T14:43:08.786042;2021-09-10T14:43:08.788438;1;
2021-09-10T14:43:09.289428;2021-09-10T14:43:09.291185;1;
START MIGRATION 2021-09-10T14:43:09,546222584+00:00
END MIGRATION 2021-09-10T14:43:09,732063169+00:00
2021-09-10T14:43:09.792123;2021-09-10T14:43:09.795475;1;
2021-09-10T14:43:10.296476;2021-09-10T14:43:10.298963;1;
2021-09-10T14:43:10.800433;2021-09-10T14:43:10.805677;1;
2021-09-10T14:43:11.307509;2021-09-10T14:43:11.310454;1;
2021-09-10T14:43:11.811724;2021-09-10T14:43:11.815197;1;
2021-09-10T14:43:12.316431;2021-09-10T14:43:12.318821;1;
2021-09-10T14:43:12.819947;2021-09-10T14:43:12.822258;1;
2021-09-10T14:43:13.323451;2021-09-10T14:43:13.325898;1;
2021-09-10T14:43:13.827043;2021-09-10T14:43:13.829594;1;
2021-09-10T14:43:14.330814;2021-09-10T14:43:14.333128;1;
2021-09-10T14:43:14.834365;2021-09-10T14:43:14.836539;1;
2021-09-10T14:43:15.337721;2021-09-10T14:43:15.340124;1;
2021-09-10T14:43:15.841217;2021-09-10T14:43:15.843613;1;
2021-09-10T14:43:16.344795;2021-09-10T14:43:16.347292;1;
2021-09-10T14:43:16.848334;2021-09-10T14:43:16.850926;1;
2021-09-10T14:43:17.352071;2021-09-10T14:43:17.354567;1;
2021-09-10T14:43:17.855660;2021-09-10T14:43:17.858086;1;
2021-09-10T14:43:18.359296;2021-09-10T14:43:18.361642;1;
2021-09-10T14:43:18.863062;2021-09-10T14:43:18.865689;1;
2021-09-10T14:43:19.366908;2021-09-10T14:43:19.370251;1;
